 	X	Y
1	385.412	427.118
2	189.500	403.500
3	183.500	406.500
4	178.167	409.167
5	174.667	410.667
6	162.167	415.262
7	148.071	419.500
8	139.500	422.367
9	132.000	425.000
10	125.000	427.000
11	118.500	428.500
12	116.500	429.500
13	113.500	430.500
14	110.500	431.500
15	94.860	439.820
16	77.500	448.500
17	74.250	450.500
18	68.786	453.214
19	61.875	457.375
20	54.500	462.500
21	52.500	464.500
22	50.500	466.500
23	596.433	475.367
24	349.167	121.167
25	351.680	246.461
26	285.000	247.500
27	280.822	253.381
28	320.500	264.500
29	323.617	275.260
30	318.500	265.500
31	325.500	265.500
32	326.723	310.588
33	409.826	426.805
34	218.500	384.500
35	203.667	393.833
36	118.544	430.385
37	450.000	422.000
38	460.457	431.755
39	448.500	423.500
40	445.833	426.833
41	442.500	432.000
42	470.500	447.750
43	475.000	453.500
44	411.500	459.500
45	485.000	463.750
46	391.983	466.672
47	491.000	471.000
48	303.000	473.500
49	307.000	474.500
50	325.500	476.500
51	341.000	476.750
52	38.167	478.500
53	497.000	479.000
54	352.500	14.500
55	359.167	15.500
56	360.500	19.500
57	310.500	24.500
58	303.543	28.761
59	297.750	29.000
60	313.500	27.500
61	295.833	30.500
62	309.500	29.500
63	293.500	30.500
64	290.611	35.056
65	298.500	32.500
66	300.500	32.500
67	309.500	33.500
68	303.500	34.500
69	305.500	34.500
70	307.500	34.500
71	280.500	38.500
72	281.500	41.500
73	315.500	42.000
74	296.500	42.500
75	298.500	42.500
76	277.500	44.500
77	295.500	44.500
78	314.500	44.500
79	315.731	49.577
80	357.500	47.500
81	277.500	48.500
82	361.500	48.500
83	357.500	49.500
84	276.500	50.500
85	275.000	53.000
86	279.500	52.500
87	292.500	52.500
88	291.500	54.500
89	295.500	54.500
90	272.750	56.250
91	323.299	212.631
92	388.000	57.000
93	309.500	56.500
94	293.000	57.500
95	306.500	57.500
96	316.500	58.500
97	381.500	58.500
98	312.000	59.500
99	290.500	60.500
100	316.500	60.500
101	303.500	62.000
102	314.500	62.000
103	293.500	62.500
104	265.500	63.500
105	310.500	63.500
106	263.500	64.500
107	302.500	64.500
108	308.500	64.500
109	318.500	64.500
110	323.500	64.500
111	288.500	66.000
112	293.500	65.500
113	301.333	67.000
114	320.500	65.833
115	263.500	66.500
116	324.500	66.500
117	313.000	67.500
118	395.500	67.500
119	315.929	69.357
120	389.500	70.500
121	341.500	73.500
122	388.500	74.500
123	256.500	75.500
124	348.633	79.167
125	354.426	82.389
126	364.500	82.500
127	353.000	85.500
128	366.500	85.500
129	355.500	86.500
130	357.500	87.500
131	359.500	88.500
132	253.500	90.000
133	361.500	89.500
134	251.500	91.500
135	360.500	92.500
136	250.500	93.500
137	369.714	101.143
138	249.500	98.500
139	287.500	100.500
140	366.500	100.500
141	217.500	101.500
142	248.500	101.500
143	251.500	104.000
144	300.500	103.500
145	303.500	104.000
146	248.500	104.500
147	371.000	106.000
148	302.500	106.500
149	247.500	108.500
150	400.500	108.500
151	374.000	110.000
152	243.500	110.500
153	239.500	111.500
154	243.000	112.500
155	376.000	113.000
156	242.500	114.500
157	378.500	117.000
158	239.500	117.500
159	243.700	118.900
160	295.207	120.549
161	303.500	118.500
162	239.000	119.500
163	279.000	120.500
164	303.000	121.000
165	380.500	120.500
166	238.500	121.500
167	400.500	121.500
168	237.500	123.500
169	301.500	123.500
170	234.500	126.500
171	379.000	127.000
172	237.100	130.300
173	381.000	129.000
174	206.500	129.500
175	211.129	136.157
176	382.000	131.000
177	233.500	131.500
178	324.500	131.500
179	205.500	132.500
180	236.000	134.000
181	382.500	133.500
182	232.500	134.500
183	423.700	141.540
184	231.500	136.500
185	405.500	137.500
186	407.700	138.700
187	230.500	138.500
188	400.500	139.500
189	227.500	140.500
190	404.833	141.500
191	226.500	142.500
192	390.000	143.000
193	202.500	143.500
194	396.357	145.500
195	403.750	145.750
196	406.500	144.500
197	223.000	147.000
198	400.500	145.500
199	415.500	145.500
200	201.500	146.500
201	299.500	147.500
202	205.500	147.500
203	211.500	147.500
204	344.500	147.500
205	405.500	148.500
206	415.000	149.000
207	207.500	155.924
208	223.500	150.500
209	310.500	150.500
210	416.500	151.500
211	276.500	152.500
212	300.000	153.000
213	352.000	153.000
214	199.500	153.500
215	219.167	154.833
216	285.500	154.500
217	342.000	157.000
218	213.500	157.500
219	279.500	157.500
220	198.500	168.000
221	196.000	169.500
222	200.500	168.500
223	313.500	173.000
224	197.500	173.500
225	218.500	173.500
226	438.633	184.633
227	438.833	179.833
228	198.500	176.167
229	204.500	175.500
230	429.600	181.850
231	199.700	178.900
232	432.500	180.000
233	440.500	179.500
234	197.000	182.000
235	201.167	182.167
236	443.500	181.500
237	445.750	183.750
238	198.000	185.000
239	320.500	184.500
240	450.500	187.500
241	199.500	189.500
242	450.500	191.500
243	200.000	193.000
244	308.500	195.500
245	454.500	198.500
246	201.500	200.000
247	200.500	202.500
248	202.167	204.833
249	199.500	206.500
250	201.500	207.500
251	377.500	208.500
252	200.500	209.500
253	452.500	209.500
254	258.500	211.500
255	370.500	212.500
256	372.167	215.833
257	199.500	226.500
258	445.500	236.500
259	211.167	239.167
260	213.500	252.500
261	437.500	257.500
262	446.500	258.500
263	436.500	260.500
264	438.500	261.500
265	432.500	263.500
266	228.500	266.500
267	431.500	266.500
268	445.214	267.786
269	447.500	267.000
270	433.500	267.500
271	440.500	267.500
272	442.500	268.500
273	441.700	271.500
274	448.500	269.500
275	448.500	271.500
276	226.500	273.250
277	445.000	272.500
278	223.500	274.500
279	431.500	279.500
280	430.500	281.500
281	236.500	299.500
282	234.500	301.500
283	237.300	304.100
284	426.500	305.000
285	240.354	312.458
286	436.500	306.500
287	242.500	307.500
288	435.300	311.600
289	438.000	317.000
290	244.500	318.000
291	240.700	319.300
292	411.500	324.500
293	427.500	338.500
294	330.500	352.500
295	360.500	352.500
296	418.000	357.000
297	369.500	358.500
298	303.500	374.500
299	319.076	425.121
300	337.000	380.500
301	347.500	394.500
302	339.500	418.500
303	342.000	419.500
304	443.698	451.950
305	312.500	427.500
306	305.500	428.500
307	308.167	431.500
308	313.500	430.500
309	201.000	461.500
310	255.455	462.364
311	197.786	464.929
312	293.141	474.089
313	191.763	473.360
314	376.922	476.559
315	349.686	478.551
316	327.045	478.773
317	492.700	478.650
